scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308211236,44.0000,8.0000,7.0000,275.60,275.60,275.60,75.34,61.33,61.80
5,1764308211311,2.0000,2.0000,4.0000,275.60,300.80,243.90,55.31,64.61,61.13
5,1764308211366,1.0000,4.0000,5.0000,243.90,243.90,243.90,59.17,56.58,62.80
5,1764308211413,0.0000,4.0000,9.0000,243.90,243.90,213.40,62.34,59.56,60.97
5,1764308211481,1.0000,4.0000,7.0000,213.40,213.40,213.40,60.38,59.63,59.02
5,1764308211529,0.0000,5.0000,14.0000,213.40,213.40,213.40,55.78,55.97,70.06
10,1764308211587,1.0000,4.0000,9.0000,161.70,161.70,161.70,63.22,62.31,63.88
10,1764308211644,1.0000,3.0000,4.0000,161.70,161.70,161.70,62.02,62.28,62.50
10,1764308211688,1.0000,1.0000,4.0000,161.70,159.70,126.30,60.09,60.28,58.75
10,1764308211731,1.0000,1.0000,2.0000,126.30,126.30,126.30,56.17,56.44,56.58
10,1764308211782,0.0000,3.0000,7.0000,126.30,126.30,126.30,60.03,57.73,54.98
10,1764308211833,0.0000,4.0000,7.0000,128.30,119.70,119.70,64.63,64.83,62.30
10,1764308211883,0.0000,3.0000,6.0000,119.70,119.70,119.70,61.52,59.64,58.33
10,1764308211930,0.0000,3.0000,6.0000,119.70,119.70,93.60,58.34,72.86,70.52
10,1764308211982,0.0000,3.0000,6.0000,93.60,93.60,93.60,69.58,69.66,67.97
10,1764308212028,1.0000,1.0000,1.0000,93.60,93.60,93.60,67.02,67.05,67.13
50,1764308212066,0.0000,1.0000,1.0000,93.60,94.10,75.20,65.50,64.52,65.75
50,1764308212105,0.0000,2.0000,2.0000,75.20,75.20,75.20,64.94,65.02,61.48
50,1764308212145,0.0000,5.0000,8.0000,75.20,75.20,75.20,60.56,59.53,57.23
50,1764308212196,0.0000,5.0000,11.0000,75.20,66.70,66.70,58.31,58.39,55.83
50,1764308212251,1.0000,5.0000,6.0000,66.70,66.70,66.70,74.63,72.75,72.63
50,1764308212304,0.0000,5.0000,14.0000,66.70,66.70,66.10,72.69,59.50,67.98
50,1764308212362,0.0000,5.0000,9.0000,66.10,66.10,66.10,65.28,65.41,64.59
50,1764308212413,0.0000,3.0000,5.0000,66.10,66.10,66.10,64.70,64.78,65.11
50,1764308212459,1.0000,3.0000,5.0000,71.90,67.20,67.20,65.16,64.20,65.45
50,1764308212503,0.0000,3.0000,5.0000,67.20,67.20,67.20,64.53,65.58,62.83
50,1764308212548,1.0000,3.0000,5.0000,67.20,67.20,67.20,61.86,62.92,62.39
50,1764308212593,0.0000,4.0000,8.0000,59.50,59.50,59.50,63.47,62.50,62.92
