scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308224456,41.0000,95.0000,98.0000,243.00,229.70,232.60,59.28,57.28,57.78
5,1764308224728,4.0000,10.0000,24.0000,214.10,298.00,298.00,52.97,57.78,58.14
5,1764308224823,1.0000,6.0000,31.0000,298.00,298.00,279.30,62.09,61.50,63.17
5,1764308224908,1.0000,10.0000,33.0000,279.30,279.30,279.30,62.17,56.50,67.36
5,1764308224999,1.0000,12.0000,38.0000,288.20,271.40,271.40,66.38,66.44,62.30
5,1764308225095,1.0000,15.0000,38.0000,271.40,267.60,252.70,62.63,59.91,56.33
10,1764308225196,1.0000,22.0000,65.0000,252.70,252.70,221.30,62.89,62.89,66.17
10,1764308225335,1.0000,27.0000,69.0000,221.30,254.50,246.40,67.97,67.61,63.75
10,1764308225476,1.0000,11.0000,34.0000,246.40,270.50,264.60,63.95,61.66,59.80
10,1764308225569,1.0000,1.0000,19.0000,264.60,264.60,264.30,60.27,56.89,65.53
10,1764308225639,1.0000,30.0000,69.0000,272.00,272.00,279.80,77.81,76.03,70.70
10,1764308225787,1.0000,2.0000,15.0000,279.80,279.80,279.80,68.72,66.77,67.13
10,1764308225849,0.0000,28.0000,73.0000,279.80,238.40,238.40,66.14,61.56,62.63
10,1764308225999,1.0000,13.0000,35.0000,255.30,276.00,276.00,63.70,60.55,59.00
10,1764308226094,1.0000,35.0000,74.0000,276.00,270.20,270.20,59.05,58.27,56.88
10,1764308226257,0.0000,17.0000,46.0000,231.00,231.00,231.00,56.33,56.31,56.89
50,1764308226371,1.0000,28.0000,60.0000,231.00,219.70,219.70,55.91,78.94,75.69
50,1764308226509,1.0000,10.0000,29.0000,240.10,240.10,240.10,75.81,72.19,61.41
50,1764308226594,0.0000,31.0000,76.0000,240.10,247.50,247.50,61.45,55.88,63.75
50,1764308226749,1.0000,30.0000,68.0000,249.10,266.30,268.80,61.13,60.63,58.75
50,1764308226896,1.0000,7.0000,25.0000,260.80,260.80,260.80,58.30,57.39,58.55
50,1764308226975,1.0000,29.0000,58.0000,260.80,271.50,271.50,67.78,66.13,66.47
50,1764308227118,1.0000,4.0000,20.0000,271.50,231.00,231.00,65.86,65.31,61.50
50,1764308227189,0.0000,30.0000,73.0000,231.00,231.00,176.10,60.59,60.81,65.52
50,1764308227341,0.0000,4.0000,20.0000,176.10,176.10,136.70,65.52,64.75,61.42
50,1764308227412,0.0000,7.0000,26.0000,136.70,136.70,136.70,61.58,61.34,64.13
50,1764308227490,0.0000,18.0000,44.0000,136.70,112.00,112.00,62.61,64.66,64.22
50,1764308227601,0.0000,11.0000,33.0000,112.00,112.00,95.10,56.16,60.31,65.63
50,1764308227692,0.0000,3.0000,19.0000,95.10,95.10,95.10,64.11,63.20,60.55
50,1764308227757,0.0000,32.0000,77.0000,92.20,86.10,95.20,59.61,57.63,58.94
50,1764308227915,0.0000,28.0000,68.0000,95.20,95.20,85.00,59.02,56.72,59.31
50,1764308228065,0.0000,29.0000,73.0000,85.00,85.00,79.00,59.06,56.53,64.88
50,1764308228223,1.0000,18.0000,47.0000,79.00,77.70,81.30,64.92,64.05,69.58
50,1764308228340,0.0000,24.0000,59.0000,81.30,81.20,76.80,69.00,68.47,70.94
50,1764308228474,0.0000,21.0000,51.0000,76.80,79.40,79.70,71.23,71.41,58.39
50,1764308228598,0.0000,25.0000,65.0000,79.70,78.70,79.00,57.61,57.73,59.17
50,1764308228741,0.0000,12.0000,38.0000,79.00,83.60,83.60,59.27,59.31,62.92
50,1764308228842,0.0000,6.0000,24.0000,83.60,83.60,82.10,62.00,62.00,59.14
50,1764308228917,0.0000,14.0000,42.0000,82.10,82.10,82.10,58.58,57.64,70.75
50,1764308229018,0.0000,3.0000,18.0000,72.60,72.60,72.60,66.77,60.19,61.06
50,1764308229082,0.0000,27.0000,69.0000,72.60,72.60,68.20,59.48,58.97,75.88
50,1764308229227,0.0000,22.0000,53.0000,68.20,74.00,76.90,75.03,73.06,62.84
50,1764308229353,0.0000,26.0000,67.0000,76.90,77.90,77.90,61.92,62.00,66.88
50,1764308229499,0.0000,5.0000,23.0000,77.90,72.90,72.90,66.03,64.59,56.14
50,1764308229576,0.0000,27.0000,64.0000,72.90,72.90,71.30,64.59,56.39,78.53
50,1764308229716,0.0000,11.0000,34.0000,71.30,71.30,78.50,77.64,77.77,75.42
50,1764308229806,0.0000,26.0000,62.0000,78.50,78.50,82.70,75.47,70.97,70.66
50,1764308229942,0.0000,19.0000,56.0000,82.70,82.70,83.70,69.80,69.91,68.34
50,1764308230068,0.0000,5.0000,21.0000,83.70,83.70,83.70,68.42,68.47,66.53
50,1764308230140,0.0000,5.0000,23.0000,77.50,86.80,86.80,66.59,66.64,66.84
50,1764308230211,0.0000,11.0000,31.0000,86.80,86.80,80.80,65.91,66.06,65.34
50,1764308230297,0.0000,17.0000,41.0000,80.80,80.80,80.80,65.48,63.06,59.58
50,1764308230402,0.0000,18.0000,43.0000,78.20,78.20,78.20,60.80,59.84,59.03
50,1764308230509,0.0000,13.0000,34.0000,78.20,72.10,72.10,59.11,58.27,63.25
50,1764308230607,0.0000,25.0000,54.0000,72.10,71.30,70.90,63.36,63.44,61.78
50,1764308230735,0.0000,22.0000,50.0000,70.90,79.90,79.70,61.86,60.92,58.66
50,1764308230858,0.0000,9.0000,27.0000,79.70,79.70,81.30,58.84,58.95,59.16
50,1764308230941,0.0000,4.0000,19.0000,81.30,81.30,81.30,59.33,59.50,59.66
50,1764308231007,0.0000,13.0000,34.0000,81.30,69.50,69.50,59.80,58.91,59.33
50,1764308231098,0.0000,22.0000,49.0000,69.50,69.50,67.00,58.63,58.75,58.80
50,1764308231216,0.0000,20.0000,46.0000,67.00,67.00,71.40,57.80,58.80,57.00
50,1764308231331,0.0000,24.0000,54.0000,71.40,71.40,73.10,58.03,57.05,58.05
50,1764308231460,0.0000,16.0000,39.0000,73.10,73.10,71.30,58.08,57.34,57.52
50,1764308231565,0.0000,24.0000,54.0000,71.30,71.30,89.10,56.55,64.17,62.48
50,1764308231695,2.0000,29.0000,61.0000,89.10,89.10,98.70,61.48,60.63,59.98
50,1764308231831,0.0000,18.0000,43.0000,98.70,98.70,98.10,60.02,60.16,61.59
75,1764308231941,0.0000,3.0000,17.0000,98.10,98.10,98.10,60.59,61.59,60.59
75,1764308232004,0.0000,7.0000,25.0000,98.10,98.10,79.30,60.81,59.86,60.11
75,1764308232078,0.0000,21.0000,47.0000,79.30,79.30,75.40,59.34,59.39,59.53
