scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308253633,47.0000,6.0000,6.0000,314.20,314.20,314.20,65.17,57.23,66.58
5,1764308253700,1.0000,6.0000,12.0000,314.20,325.40,298.80,62.75,58.83,59.61
5,1764308253798,2.0000,1.0000,2.0000,298.80,298.80,351.20,69.88,65.77,64.58
5,1764308253873,1.0000,7.0000,12.0000,351.20,351.20,351.20,60.14,60.61,58.05
5,1764308253944,1.0000,2.0000,3.0000,351.20,351.20,311.00,58.50,57.64,57.78
5,1764308253995,1.0000,1.0000,2.0000,274.90,274.90,274.90,57.06,62.67,62.86
10,1764308254050,1.0000,3.0000,7.0000,274.90,274.90,274.90,60.91,60.06,61.38
10,1764308254107,1.0000,4.0000,9.0000,209.60,209.60,209.60,59.48,59.63,57.02
10,1764308254166,1.0000,3.0000,4.0000,209.60,209.60,209.60,57.09,57.28,37.58
10,1764308254224,1.0000,3.0000,6.0000,207.00,171.80,171.80,57.58,59.95,57.94
10,1764308254294,1.0000,2.0000,3.0000,171.80,171.80,171.80,53.55,58.16,56.34
10,1764308254353,1.0000,7.0000,12.0000,182.20,170.50,170.50,58.50,65.86,62.22
10,1764308254424,1.0000,14.0000,16.0000,170.50,170.50,178.30,60.03,61.45,68.31
10,1764308254502,1.0000,5.0000,9.0000,178.30,178.30,178.30,64.72,60.30,59.78
10,1764308254555,0.0000,5.0000,11.0000,178.30,178.30,152.60,57.88,60.22,61.06
10,1764308254625,1.0000,2.0000,3.0000,150.50,150.50,150.50,62.66,67.64,58.47
50,1764308254705,2.0000,3.0000,6.0000,150.50,150.80,148.30,88.78,71.02,61.27
50,1764308254774,1.0000,3.0000,5.0000,148.30,148.30,148.30,69.28,70.45,69.09
50,1764308254836,1.0000,5.0000,9.0000,148.30,176.40,176.40,67.89,65.58,64.22
50,1764308254899,1.0000,3.0000,8.0000,176.40,176.40,176.40,61.73,62.19,59.09
50,1764308254959,1.0000,7.0000,11.0000,176.40,159.30,159.30,60.38,57.78,66.73
50,1764308255028,1.0000,4.0000,5.0000,159.30,159.30,159.30,62.91,61.50,60.48
50,1764308255086,1.0000,1.0000,2.0000,159.30,153.40,148.90,60.86,59.17,63.69
50,1764308255140,1.0000,6.0000,9.0000,148.90,148.90,148.90,59.44,58.09,55.81
50,1764308255203,1.0000,7.0000,11.0000,148.90,147.20,140.90,62.94,61.25,59.02
50,1764308255269,1.0000,1.0000,3.0000,140.90,140.90,140.90,57.33,56.69,57.11
50,1764308255319,1.0000,9.0000,9.0000,140.90,140.90,137.90,55.56,58.38,60.19
