scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308167201,148.0000,32.0000,1.0000,212.70,212.70,212.70,61.48,61.42,57.75
5,1764308167329,40.0000,18.0000,3.0000,227.10,227.10,227.10,61.66,56.50,62.72
5,1764308167446,36.0000,21.0000,1.0000,219.40,219.40,219.40,59.02,57.86,60.89
5,1764308167554,38.0000,17.0000,3.0000,173.40,173.40,173.40,63.52,63.06,61.03
5,1764308167664,37.0000,19.0000,1.0000,149.40,149.40,149.40,59.13,60.81,60.56
5,1764308167768,37.0000,29.0000,1.0000,149.40,131.40,131.40,59.42,59.33,59.08
10,1764308167886,40.0000,12.0000,2.0000,131.40,133.20,131.00,55.36,63.13,59.69
10,1764308167985,38.0000,28.0000,3.0000,131.00,145.50,169.60,72.50,66.56,72.02
10,1764308168120,46.0000,27.0000,2.0000,169.60,161.60,161.60,61.58,58.02,65.28
10,1764308168244,41.0000,21.0000,2.0000,161.60,149.70,134.40,67.19,65.16,56.64
10,1764308168360,39.0000,7.0000,3.0000,134.40,134.40,123.20,55.72,70.25,68.23
10,1764308168460,37.0000,30.0000,1.0000,110.80,101.40,102.30,63.69,56.72,73.86
10,1764308168585,39.0000,4.0000,3.0000,108.40,108.40,108.40,70.23,69.27,67.17
10,1764308168675,37.0000,21.0000,1.0000,105.60,105.60,105.60,66.45,64.78,64.53
10,1764308168781,37.0000,20.0000,2.0000,98.50,93.40,93.40,63.80,64.50,63.30
10,1764308168888,37.0000,25.0000,2.0000,93.40,88.00,88.00,62.19,62.97,59.38
50,1764308169001,38.0000,21.0000,2.0000,88.00,85.60,84.20,58.73,57.53,57.58
50,1764308169116,43.0000,2.0000,2.0000,84.20,84.20,84.20,69.08,66.83,63.97
50,1764308169208,39.0000,16.0000,3.0000,152.30,152.30,152.30,57.39,52.48,58.38
50,1764308169323,41.0000,18.0000,2.0000,181.70,181.70,181.70,56.03,55.83,64.16
50,1764308169430,36.0000,3.0000,1.0000,137.40,137.40,137.40,61.94,61.69,61.08
50,1764308169518,40.0000,5.0000,2.0000,137.40,123.50,121.80,58.23,59.27,56.58
50,1764308169611,39.0000,27.0000,2.0000,109.60,109.60,110.70,84.36,79.83,78.70
50,1764308169720,37.0000,29.0000,1.0000,110.10,110.10,110.10,76.89,76.69,76.53
50,1764308169835,37.0000,7.0000,2.0000,100.70,100.70,100.70,75.56,75.39,70.67
50,1764308169929,38.0000,10.0000,1.0000,90.90,90.90,90.90,67.92,66.77,66.66
50,1764308170021,37.0000,20.0000,2.0000,90.90,88.10,88.10,64.91,64.69,63.69
50,1764308170128,38.0000,18.0000,2.0000,88.10,91.90,89.50,61.58,58.61,58.58
50,1764308170232,37.0000,30.0000,2.0000,89.50,89.50,82.80,57.63,57.44,56.47
50,1764308170349,37.0000,27.0000,2.0000,82.80,82.80,82.80,65.70,65.47,61.39
50,1764308170463,36.0000,2.0000,1.0000,78.00,78.00,78.00,61.44,61.31,62.19
50,1764308170549,37.0000,4.0000,1.0000,74.30,74.30,74.30,60.27,60.42,59.28
50,1764308170637,37.0000,17.0000,2.0000,74.30,73.20,73.10,56.69,63.69,63.50
50,1764308170741,37.0000,3.0000,1.0000,73.10,73.10,73.10,59.22,58.98,58.88
50,1764308170828,38.0000,24.0000,2.0000,72.30,72.30,72.30,57.80,57.95,57.09
50,1764308170940,38.0000,29.0000,2.0000,74.70,74.70,74.70,62.66,62.48,61.63
50,1764308171057,37.0000,2.0000,2.0000,75.70,75.70,75.70,57.14,55.94,67.45
50,1764308171148,38.0000,28.0000,2.0000,75.70,75.80,75.80,63.14,64.13,63.03
50,1764308171262,37.0000,29.0000,2.0000,75.80,75.50,75.50,61.97,61.73,60.63
50,1764308171380,37.0000,25.0000,1.0000,75.50,71.70,71.40,61.78,60.53,60.47
50,1764308171494,37.0000,2.0000,2.0000,71.40,71.40,71.40,60.53,59.30,58.28
50,1764308171581,38.0000,6.0000,2.0000,70.00,70.00,70.00,58.58,63.56,63.48
50,1764308171672,37.0000,2.0000,2.0000,74.90,75.10,75.10,61.84,61.72,61.69
50,1764308171757,38.0000,17.0000,2.0000,75.10,75.10,87.70,57.22,61.13,57.97
50,1764308171859,37.0000,1.0000,1.0000,87.70,87.70,87.70,67.75,54.95,67.52
50,1764308171950,43.0000,3.0000,2.0000,125.90,125.90,125.90,68.33,69.88,69.84
50,1764308172039,38.0000,16.0000,2.0000,125.90,150.40,150.40,67.11,68.28,67.17
50,1764308172139,38.0000,13.0000,2.0000,150.40,150.40,156.00,60.36,57.45,70.03
50,1764308172247,41.0000,7.0000,2.0000,156.00,156.00,156.00,56.80,55.63,75.75
50,1764308172345,37.0000,16.0000,1.0000,141.50,141.50,141.50,75.63,75.53,74.59
50,1764308172445,37.0000,27.0000,2.0000,120.40,120.40,120.40,73.64,71.75,69.72
50,1764308172561,38.0000,28.0000,2.0000,117.50,117.50,117.50,65.98,63.94,63.06
50,1764308172670,37.0000,24.0000,2.0000,113.20,107.70,107.70,61.09,58.48,57.70
50,1764308172778,37.0000,7.0000,3.0000,107.70,103.50,96.10,56.44,58.97,72.67
50,1764308172877,38.0000,4.0000,1.0000,96.10,96.10,96.10,72.81,72.64,72.48
50,1764308172964,37.0000,29.0000,2.0000,81.40,81.40,81.40,71.38,72.44,71.47
