scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764304169061,13.0000,3.0000,12.0000,289.40,289.40,285.80,60.39,59.64,60.52
5,1764304169130,7.0000,3.0000,3.0000,240.20,240.20,240.20,59.94,61.86,56.70
5,1764304169211,13.0000,3.0000,12.0000,240.20,203.70,203.70,57.88,63.66,57.52
5,1764304169312,10.0000,4.0000,4.0000,203.70,203.70,204.40,64.27,57.20,66.30
5,1764304169388,8.0000,1.0000,13.0000,168.70,168.70,168.70,63.05,55.97,67.16
5,1764304169458,8.0000,3.0000,3.0000,168.70,168.70,133.00,67.36,65.88,65.06
10,1764304169510,5.0000,3.0000,1.0000,133.00,133.00,133.00,61.31,60.50,60.66
10,1764304169562,8.0000,1.0000,6.0000,133.00,133.00,133.00,59.13,58.50,66.73
10,1764304169619,7.0000,2.0000,1.0000,100.20,100.20,100.20,66.08,64.91,64.06
10,1764304169670,7.0000,6.0000,2.0000,100.20,100.20,100.20,61.78,57.22,66.42
10,1764304169738,12.0000,1.0000,9.0000,95.70,95.70,95.70,65.81,64.31,63.05
10,1764304169799,12.0000,1.0000,11.0000,95.70,95.70,95.70,58.56,57.08,69.03
10,1764304169867,10.0000,4.0000,6.0000,89.10,89.10,89.10,63.97,63.67,68.80
10,1764304169956,9.0000,4.0000,4.0000,89.10,96.70,121.40,67.11,70.92,70.25
10,1764304170022,10.0000,2.0000,5.0000,121.40,121.40,121.40,67.61,66.75,67.30
10,1764304170079,9.0000,4.0000,7.0000,121.40,121.40,102.30,65.16,60.20,60.58
50,1764304170137,7.0000,2.0000,3.0000,102.30,102.30,102.30,59.81,70.39,68.94
50,1764304170204,10.0000,1.0000,6.0000,102.30,102.30,100.20,65.34,66.53,62.64
50,1764304170260,8.0000,3.0000,5.0000,98.60,98.60,98.60,61.50,60.67,60.09
50,1764304170315,8.0000,2.0000,5.0000,98.60,98.60,98.60,58.77,58.91,58.28
50,1764304170373,11.0000,3.0000,7.0000,84.70,84.70,84.70,57.92,57.22,57.66
50,1764304170431,8.0000,2.0000,5.0000,84.70,84.70,84.70,56.98,57.39,55.81
50,1764304170488,7.0000,2.0000,2.0000,75.50,75.00,75.00,63.72,60.81,57.25
50,1764304170545,8.0000,4.0000,2.0000,75.00,75.00,75.00,73.53,71.77,67.03
50,1764304170602,7.0000,5.0000,3.0000,77.60,94.90,94.90,66.66,67.11,68.38
50,1764304170667,13.0000,2.0000,8.0000,94.90,94.90,94.90,66.95,65.17,63.64
50,1764304170728,11.0000,3.0000,8.0000,94.90,94.60,94.60,64.08,61.25,60.69
50,1764304170790,10.0000,1.0000,7.0000,94.60,94.60,94.60,59.13,59.42,57.16
50,1764304170845,8.0000,3.0000,6.0000,94.60,87.20,81.70,57.58,56.77,67.31
50,1764304170906,8.0000,4.0000,6.0000,81.70,81.70,81.70,66.77,65.92,66.23
50,1764304170968,12.0000,3.0000,7.0000,81.70,81.70,68.40,62.70,60.31,60.72
50,1764304171025,7.0000,3.0000,3.0000,68.40,68.40,68.40,60.13,61.30,59.53
50,1764304171077,6.0000,3.0000,2.0000,68.40,68.40,68.40,57.61,57.48,62.48
50,1764304171135,10.0000,4.0000,7.0000,61.90,61.90,61.90,63.97,63.17,59.64
50,1764304171198,12.0000,1.0000,7.0000,61.90,61.90,76.80,58.55,57.13,74.27
50,1764304171258,6.0000,3.0000,3.0000,77.70,77.70,77.70,75.48,74.63,73.86
50,1764304171310,6.0000,3.0000,1.0000,77.70,77.70,77.70,75.14,74.28,75.52
50,1764304171360,7.0000,3.0000,3.0000,69.80,66.70,66.70,64.33,64.50,64.72
50,1764304171415,8.0000,2.0000,5.0000,66.70,66.70,66.70,64.16,63.44,63.83
50,1764304171469,7.0000,5.0000,3.0000,66.70,63.40,61.10,61.48,61.72,62.02
50,1764304171524,8.0000,2.0000,4.0000,61.10,61.10,61.10,60.45,61.25,60.59
50,1764304171576,6.0000,1.0000,2.0000,61.10,61.10,61.10,60.52,56.42,68.75
50,1764304171635,12.0000,3.0000,7.0000,54.50,54.50,54.50,68.38,67.59,67.06
50,1764304171694,9.0000,1.0000,5.0000,54.50,54.50,54.50,76.08,75.27,73.61
50,1764304171745,6.0000,4.0000,2.0000,60.30,60.30,60.30,74.91,74.06,75.27
50,1764304171798,7.0000,1.0000,4.0000,60.30,60.30,60.30,73.95,73.09,73.38
50,1764304171848,6.0000,3.0000,2.0000,60.30,60.40,56.40,72.09,72.27,70.48
50,1764304171901,9.0000,4.0000,5.0000,56.40,56.40,56.40,70.80,65.47,64.77
50,1764304171958,7.0000,3.0000,6.0000,56.40,56.40,51.40,65.09,64.36,63.66
50,1764304172016,10.0000,3.0000,8.0000,53.70,53.70,53.70,65.06,64.20,62.75
50,1764304172076,10.0000,3.0000,5.0000,53.70,53.70,53.70,61.25,60.70,60.03
50,1764304172131,6.0000,4.0000,2.0000,63.30,63.30,63.30,59.25,57.09,64.95
50,1764304172189,9.0000,2.0000,5.0000,63.30,63.30,63.30,64.58,63.31,61.91
50,1764304172244,8.0000,5.0000,8.0000,73.00,90.40,90.40,62.78,61.28,57.48
50,1764304172308,11.0000,2.0000,8.0000,90.40,90.40,90.40,58.03,58.38,57.91
50,1764304172366,10.0000,4.0000,13.0000,90.50,82.70,82.70,57.73,60.03,62.00
50,1764304172487,8.0000,3.0000,2.0000,140.70,167.00,167.00,70.64,64.84,58.52
50,1764304172560,9.0000,3.0000,6.0000,167.00,157.40,169.40,56.98,58.50,53.95
50,1764304172679,8.0000,2.0000,3.0000,169.40,169.40,169.40,58.09,55.50,64.36
50,1764304172752,12.0000,3.0000,8.0000,194.80,194.80,194.80,56.75,55.55,69.27
50,1764304172820,6.0000,4.0000,2.0000,194.80,194.80,194.80,65.73,66.61,65.27
50,1764304172883,11.0000,5.0000,8.0000,180.00,180.00,180.00,64.91,60.52,60.81
50,1764304172952,10.0000,1.0000,6.0000,180.00,180.00,178.10,56.56,65.83,64.05
50,1764304173022,11.0000,1.0000,6.0000,177.70,177.70,177.70,62.56,60.94,60.36
50,1764304173080,10.0000,3.0000,7.0000,177.70,177.70,138.20,60.97,56.86,62.97
50,1764304173142,8.0000,2.0000,4.0000,134.80,134.80,134.80,63.38,62.69,61.33
75,1764304173197,10.0000,3.0000,4.0000,134.80,134.80,134.80,58.28,56.14,61.19
75,1764304173257,6.0000,3.0000,2.0000,126.80,126.80,126.80,61.23,58.72,57.75
75,1764304173317,9.0000,2.0000,5.0000,126.80,126.80,126.80,56.06,62.52,63.19
75,1764304173374,7.0000,4.0000,3.0000,148.30,148.30,148.30,60.20,60.81,59.34
75,1764304173430,6.0000,4.0000,3.0000,148.30,148.30,148.30,57.03,56.73,63.19
75,1764304173486,6.0000,4.0000,3.0000,148.30,149.50,149.50,59.55,56.81,64.41
75,1764304173549,7.0000,4.0000,3.0000,149.50,149.50,149.10,62.95,58.53,56.34
75,1764304173608,10.0000,3.0000,5.0000,149.10,127.20,127.20,57.66,63.27,63.55
75,1764304173664,7.0000,3.0000,3.0000,127.20,127.20,127.20,61.58,60.73,61.00
