scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308130367,143.0000,3.0000,42.0000,338.30,385.90,385.90,67.52,58.03,59.03
5,1764308130530,53.0000,1.0000,53.0000,363.80,363.80,363.80,69.45,70.61,59.17
5,1764308130726,87.0000,3.0000,78.0000,355.90,355.90,386.50,55.66,65.19,64.50
5,1764308130926,58.0000,1.0000,57.0000,307.10,307.10,291.90,57.20,56.02,59.73
5,1764308131080,45.0000,2.0000,44.0000,291.60,291.60,296.40,60.53,60.67,68.48
5,1764308131213,35.0000,2.0000,32.0000,296.40,296.40,292.50,66.02,65.42,60.94
10,1764308131322,26.0000,2.0000,61.0000,292.50,292.50,297.00,50.13,61.38,51.19
10,1764308131516,62.0000,2.0000,51.0000,324.80,324.80,324.80,69.30,64.09,58.09
10,1764308131677,58.0000,1.0000,58.0000,314.00,314.00,305.50,63.52,62.39,61.31
10,1764308131879,90.0000,2.0000,72.0000,332.50,349.40,356.00,54.77,59.47,57.08
10,1764308132126,72.0000,2.0000,51.0000,377.70,364.30,364.30,66.00,63.39,57.83
10,1764308132286,54.0000,1.0000,53.0000,332.60,332.60,332.60,63.89,59.97,70.22
10,1764308132467,75.0000,2.0000,68.0000,303.50,303.50,347.20,73.13,71.50,56.53
10,1764308132660,65.0000,1.0000,59.0000,344.40,344.40,344.40,58.64,58.55,60.80
10,1764308132814,42.0000,1.0000,39.0000,340.10,340.10,357.80,56.97,59.13,57.25
10,1764308132970,69.0000,1.0000,64.0000,360.30,360.30,371.40,64.09,64.00,64.34
50,1764308133121,33.0000,2.0000,31.0000,371.40,378.00,364.10,57.58,57.47,60.00
50,1764308133226,21.0000,1.0000,18.0000,364.10,364.10,337.20,68.30,68.22,66.20
50,1764308133339,48.0000,0.0000,48.0000,337.20,337.20,283.40,65.11,63.98,60.33
50,1764308133478,43.0000,1.0000,37.0000,283.40,283.40,240.00,64.67,65.56,76.16
50,1764308133624,56.0000,0.0000,59.0000,240.00,220.70,220.00,60.38,61.92,62.88
50,1764308133772,33.0000,0.0000,34.0000,219.40,219.40,219.40,71.72,65.95,60.97
50,1764308133884,18.0000,1.0000,22.0000,206.70,196.90,196.90,57.95,58.28,57.64
50,1764308134049,67.0000,1.0000,64.0000,206.90,206.90,224.30,63.08,57.41,58.17
50,1764308134219,41.0000,1.0000,36.0000,224.30,224.30,226.20,63.36,60.58,61.81
50,1764308134360,46.0000,1.0000,46.0000,226.20,226.20,211.10,58.38,62.73,57.47
50,1764308134515,51.0000,1.0000,45.0000,203.00,211.40,194.70,55.14,57.45,79.92
50,1764308134643,30.0000,0.0000,31.0000,188.20,162.30,162.30,73.28,74.00,61.05
50,1764308134762,42.0000,1.0000,42.0000,160.90,140.50,140.50,63.83,62.56,62.53
50,1764308134937,82.0000,1.0000,78.0000,112.50,112.50,109.60,62.56,62.31,63.25
50,1764308135132,53.0000,1.0000,51.0000,108.00,91.00,91.00,59.63,60.52,58.52
50,1764308135305,62.0000,1.0000,49.0000,99.90,99.90,94.60,62.75,62.64,60.20
50,1764308135477,62.0000,1.0000,64.0000,106.30,106.30,93.20,57.84,55.61,58.80
50,1764308135645,43.0000,1.0000,43.0000,94.20,93.50,93.50,65.06,63.53,62.70
50,1764308135784,35.0000,1.0000,34.0000,91.90,91.90,91.90,60.89,59.64,60.41
50,1764308135889,16.0000,1.0000,15.0000,91.90,77.40,77.40,58.20,68.67,68.08
50,1764308135974,22.0000,1.0000,22.0000,77.40,77.40,72.10,67.11,66.89,64.77
50,1764308136075,33.0000,1.0000,32.0000,72.50,72.50,72.50,64.95,61.45,59.72
50,1764308136185,29.0000,1.0000,28.0000,68.60,68.60,68.60,59.95,62.95,56.11
50,1764308136314,50.0000,1.0000,50.0000,85.10,85.10,82.60,55.89,55.64,64.09
50,1764308136456,35.0000,1.0000,34.0000,80.80,80.80,85.00,63.08,62.09,55.95
50,1764308136558,16.0000,1.0000,14.0000,84.40,84.40,84.40,62.30,62.03,62.03
