scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308090994,208.0000,3.0000,101.0000,415.90,436.90,438.30,57.58,62.25,62.56
5,1764308091227,65.0000,1.0000,67.0000,438.30,412.00,392.10,62.55,60.73,59.66
5,1764308091477,123.0000,2.0000,171.0000,407.80,352.10,349.10,61.84,57.91,58.72
5,1764308091782,63.0000,2.0000,46.0000,416.30,416.30,418.90,61.91,71.75,63.17
5,1764308091928,40.0000,1.0000,34.0000,401.20,401.20,393.10,73.64,72.03,67.17
5,1764308092065,43.0000,1.0000,44.0000,392.20,392.20,341.60,69.20,69.00,64.66
10,1764308092208,44.0000,2.0000,42.0000,341.60,341.60,330.10,61.56,61.80,55.25
10,1764308092342,36.0000,3.0000,30.0000,330.10,330.10,328.50,63.86,63.67,63.52
10,1764308092476,51.0000,3.0000,42.0000,328.50,332.20,328.70,68.45,63.84,56.63
10,1764308092632,55.0000,1.0000,50.0000,298.20,298.20,298.20,61.59,60.63,80.64
10,1764308092819,66.0000,1.0000,58.0000,295.00,295.00,308.60,71.22,71.13,64.75
10,1764308092956,24.0000,1.0000,21.0000,308.60,308.60,291.50,61.28,62.09,62.98
10,1764308093093,66.0000,1.0000,61.0000,291.50,291.50,264.90,59.38,58.91,59.81
10,1764308093242,33.0000,1.0000,34.0000,264.70,268.00,268.00,59.20,57.42,63.91
10,1764308093387,51.0000,2.0000,52.0000,267.30,267.30,267.30,62.84,61.67,61.48
10,1764308093558,71.0000,1.0000,71.0000,269.30,269.30,258.40,59.69,80.78,67.94
50,1764308093744,54.0000,1.0000,56.0000,260.80,259.60,259.60,60.36,70.44,68.30
50,1764308093937,73.0000,1.0000,75.0000,273.60,273.60,252.50,66.47,65.63,60.59
50,1764308094103,36.0000,1.0000,38.0000,252.50,252.50,236.60,59.80,59.61,57.70
50,1764308094246,53.0000,2.0000,55.0000,236.60,256.70,256.70,68.59,68.66,63.38
50,1764308094400,49.0000,1.0000,59.0000,267.30,267.30,267.30,59.64,58.77,57.94
50,1764308094562,41.0000,1.0000,41.0000,267.30,267.30,276.20,80.84,71.03,63.13
50,1764308094751,93.0000,1.0000,82.0000,296.50,291.40,291.40,61.34,65.41,59.09
50,1764308094927,40.0000,2.0000,42.0000,287.20,287.20,266.40,69.84,67.56,62.20
50,1764308095082,50.0000,2.0000,56.0000,264.90,264.90,270.30,63.83,58.31,83.31
50,1764308095218,29.0000,1.0000,24.0000,270.30,270.30,280.90,78.61,77.45,75.78
50,1764308095349,59.0000,1.0000,49.0000,280.90,280.90,278.10,65.22,64.30,66.59
50,1764308095493,43.0000,2.0000,39.0000,278.10,274.10,247.20,66.95,65.80,64.58
50,1764308095674,88.0000,1.0000,71.0000,271.50,271.50,268.40,92.91,90.81,67.83
50,1764308095838,38.0000,2.0000,34.0000,268.40,268.40,262.60,62.45,62.38,61.06
50,1764308095985,64.0000,1.0000,64.0000,262.60,262.60,279.80,62.36,62.33,73.80
50,1764308096158,44.0000,1.0000,37.0000,272.80,272.80,272.80,58.05,57.84,56.88
50,1764308096275,31.0000,1.0000,33.0000,268.60,268.60,268.60,54.81,83.34,80.78
50,1764308096382,18.0000,1.0000,15.0000,268.60,269.60,269.60,72.39,62.45,90.45
50,1764308096470,23.0000,1.0000,22.0000,269.60,269.60,197.90,80.08,71.69,71.09
50,1764308096596,55.0000,1.0000,55.0000,197.30,197.30,158.80,56.72,73.16,65.41
50,1764308096777,70.0000,1.0000,62.0000,138.40,138.40,138.40,71.19,71.00,58.45
50,1764308096959,58.0000,1.0000,59.0000,105.90,105.90,95.50,62.61,61.44,69.97
50,1764308097132,49.0000,2.0000,41.0000,95.50,98.90,98.90,68.44,69.19,59.27
50,1764308097250,16.0000,0.0000,15.0000,98.90,97.60,86.40,57.25,57.05,55.88
50,1764308097345,30.0000,1.0000,26.0000,86.40,86.40,88.40,70.59,65.91,60.02
50,1764308097476,59.0000,0.0000,55.0000,88.40,88.40,80.70,64.88,64.75,56.98
50,1764308097651,67.0000,1.0000,51.0000,94.80,94.80,94.80,55.45,86.05,71.17
50,1764308097807,48.0000,1.0000,58.0000,93.40,93.40,96.20,59.14,56.58,63.33
50,1764308097999,74.0000,1.0000,88.0000,96.20,88.60,121.00,57.91,57.94,74.77
50,1764308098202,36.0000,1.0000,35.0000,128.30,128.30,105.20,66.45,67.28,62.83
50,1764308098317,15.0000,0.0000,17.0000,105.20,105.20,105.20,61.73,56.28,61.20
50,1764308098426,42.0000,1.0000,43.0000,95.60,95.60,95.60,61.55,60.38,61.94
50,1764308098602,81.0000,1.0000,68.0000,81.30,81.30,104.60,59.14,60.00,62.73
50,1764308098757,29.0000,1.0000,29.0000,104.60,103.40,103.40,63.45,76.13,67.33
50,1764308098918,73.0000,1.0000,72.0000,101.30,101.30,92.70,75.02,72.23,67.97
50,1764308099130,70.0000,2.0000,68.0000,92.70,93.80,108.00,61.95,62.78,59.95
50,1764308099265,18.0000,1.0000,17.0000,108.00,99.10,99.10,58.81,59.64,57.63
50,1764308099385,53.0000,1.0000,57.0000,99.10,94.20,89.70,63.61,64.41,67.16
50,1764308099545,52.0000,0.0000,48.0000,135.40,100.00,100.00,84.19,77.70,69.84
50,1764308099658,20.0000,1.0000,19.0000,132.20,132.20,132.20,65.84,61.97,60.11
50,1764308099763,25.0000,1.0000,24.0000,132.20,118.60,112.60,60.23,61.23,60.23
50,1764308099864,30.0000,1.0000,35.0000,112.60,112.60,104.20,68.05,57.48,81.86
50,1764308099984,28.0000,1.0000,28.0000,104.20,104.20,120.50,76.16,60.63,55.55
50,1764308100115,54.0000,2.0000,45.0000,120.50,160.20,139.80,65.77,60.67,66.73
50,1764308100258,32.0000,1.0000,31.0000,139.80,126.90,122.10,85.92,84.11,65.53
50,1764308100357,17.0000,1.0000,40.0000,122.10,122.10,104.20,59.27,59.11,65.42
50,1764308100503,55.0000,2.0000,55.0000,104.20,104.20,175.30,66.66,62.19,65.00
50,1764308100647,35.0000,1.0000,32.0000,175.30,203.10,203.10,61.92,59.17,56.13
50,1764308100751,23.0000,1.0000,27.0000,203.10,203.10,207.70,57.09,55.33,65.59
50,1764308100885,53.0000,1.0000,51.0000,207.70,207.50,235.20,58.27,58.09,58.05
75,1764308101013,29.0000,0.0000,27.0000,235.20,232.30,251.50,56.56,56.50,56.36
75,1764308101128,43.0000,1.0000,40.0000,251.50,251.50,259.90,56.59,56.44,58.78
75,1764308101291,73.0000,1.0000,76.0000,259.00,259.00,265.80,65.75,65.59,59.28
75,1764308101456,35.0000,1.0000,31.0000,237.70,237.70,237.70,73.36,73.16,73.06
75,1764308101580,43.0000,0.0000,48.0000,247.80,247.80,229.20,72.78,71.81,67.48
75,1764308101729,47.0000,1.0000,48.0000,229.20,229.20,241.90,67.34,66.17,67.25
