scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308073761,24.0000,3.0000,9.0000,403.40,403.40,403.60,62.77,69.67,62.55
5,1764308073839,9.0000,9.0000,8.0000,371.70,371.70,371.70,58.41,58.13,56.25
5,1764308073928,12.0000,1.0000,8.0000,371.70,350.70,350.70,56.14,57.20,67.50
5,1764308074012,11.0000,2.0000,5.0000,350.70,350.70,350.70,61.98,60.19,62.27
5,1764308074078,14.0000,3.0000,8.0000,300.20,300.20,300.20,57.28,57.19,69.53
5,1764308074142,12.0000,1.0000,5.0000,300.20,300.20,300.20,69.80,68.70,67.81
10,1764308074198,10.0000,3.0000,6.0000,209.10,209.10,209.10,67.97,64.94,62.19
10,1764308074253,6.0000,5.0000,2.0000,209.10,209.10,209.10,57.80,69.56,67.58
10,1764308074315,11.0000,6.0000,9.0000,209.50,225.30,225.30,63.53,66.69,60.50
10,1764308074417,12.0000,5.0000,7.0000,225.30,247.00,215.70,57.36,62.69,60.36
10,1764308074499,16.0000,2.0000,11.0000,215.70,206.90,206.90,59.55,77.58,60.05
10,1764308074572,14.0000,4.0000,10.0000,195.90,176.00,176.00,59.92,59.66,58.03
10,1764308074639,15.0000,2.0000,7.0000,176.00,176.00,176.00,59.06,69.25,65.97
10,1764308074705,12.0000,4.0000,8.0000,146.90,146.90,146.90,65.23,65.25,60.88
10,1764308074765,8.0000,2.0000,2.0000,146.90,146.90,146.90,60.09,59.23,58.33
10,1764308074818,12.0000,2.0000,11.0000,144.50,113.80,113.80,49.13,60.66,61.41
50,1764308074891,16.0000,3.0000,12.0000,113.80,113.80,113.80,58.77,59.38,61.66
50,1764308074969,11.0000,5.0000,6.0000,112.90,112.90,112.80,56.13,63.22,55.16
50,1764308075035,13.0000,2.0000,7.0000,112.80,112.80,112.00,66.19,67.06,63.20
50,1764308075099,15.0000,5.0000,13.0000,119.90,119.90,119.90,62.31,60.70,60.17
50,1764308075173,16.0000,2.0000,13.0000,119.90,119.90,100.50,58.75,56.80,56.03
50,1764308075244,18.0000,2.0000,8.0000,100.50,100.50,100.50,71.77,74.52,72.88
50,1764308075308,14.0000,0.0000,11.0000,100.50,93.30,81.80,71.28,70.28,60.83
50,1764308075369,11.0000,3.0000,8.0000,81.80,81.80,81.80,67.95,68.11,66.78
50,1764308075436,14.0000,5.0000,12.0000,81.80,85.70,85.70,62.00,63.05,58.13
50,1764308075510,16.0000,3.0000,11.0000,85.70,85.70,85.70,76.16,76.14,72.91
50,1764308075579,13.0000,3.0000,8.0000,79.10,79.10,79.10,72.38,70.59,58.77
50,1764308075641,12.0000,2.0000,6.0000,79.10,79.10,79.10,62.53,63.48,61.78
50,1764308075695,9.0000,5.0000,6.0000,79.10,104.50,104.50,59.95,57.80,59.19
50,1764308075757,13.0000,1.0000,10.0000,104.50,104.50,104.50,57.53,57.53,56.95
50,1764308075819,15.0000,1.0000,7.0000,104.50,98.40,98.40,63.77,80.53,79.77
50,1764308075888,18.0000,5.0000,11.0000,98.40,98.40,98.40,64.50,64.52,62.86
50,1764308075955,12.0000,1.0000,14.0000,93.40,93.40,93.40,62.11,57.64,70.77
50,1764308076019,9.0000,2.0000,4.0000,93.40,93.40,93.40,57.31,56.67,66.66
50,1764308076074,8.0000,1.0000,5.0000,90.90,86.20,86.20,64.78,63.77,62.77
50,1764308076134,15.0000,4.0000,10.0000,86.20,86.20,86.20,57.77,57.73,56.05
50,1764308076194,8.0000,3.0000,3.0000,78.70,71.70,71.70,72.91,72.41,63.47
50,1764308076261,16.0000,4.0000,10.0000,71.70,71.70,71.70,63.36,63.42,61.80
50,1764308076321,8.0000,4.0000,3.0000,71.70,67.50,67.50,60.88,60.83,60.38
50,1764308076378,13.0000,3.0000,6.0000,67.50,67.50,67.50,59.58,59.59,56.55
50,1764308076439,14.0000,3.0000,7.0000,67.50,66.10,65.60,63.42,64.22,63.80
50,1764308076502,14.0000,4.0000,12.0000,65.60,65.60,65.60,61.20,61.22,60.56
