scale,timestamp,add_ms,update_ms,delete_ms,add_cpu,update_cpu,delete_cpu,add_mem,update_mem,delete_mem
1,1764308045199,153.0000,28.0000,3.0000,280.70,242.40,242.40,64.42,59.67,65.95
5,1764308045332,40.0000,24.0000,2.0000,242.40,196.00,196.00,61.00,58.58,56.72
5,1764308045445,38.0000,2.0000,2.0000,196.00,196.00,151.50,63.28,61.61,60.11
5,1764308045533,38.0000,5.0000,2.0000,151.50,151.50,151.50,54.53,68.20,60.73
5,1764308045672,64.0000,76.0000,7.0000,169.30,215.10,215.10,62.56,74.05,68.44
5,1764308045858,37.0000,23.0000,1.0000,196.30,196.30,196.30,63.42,62.00,57.66
10,1764308045971,39.0000,27.0000,2.0000,162.80,149.20,149.20,69.11,62.42,58.38
10,1764308046108,50.0000,16.0000,2.0000,166.40,166.40,166.40,56.80,63.84,62.81
10,1764308046213,39.0000,30.0000,2.0000,166.40,153.10,153.10,58.63,56.27,63.58
10,1764308046334,38.0000,21.0000,4.0000,153.10,118.30,118.30,58.86,60.17,74.33
10,1764308046465,38.0000,26.0000,2.0000,118.30,106.90,106.90,71.31,71.92,69.94
10,1764308046578,37.0000,27.0000,2.0000,106.90,107.70,107.70,76.47,72.03,63.95
10,1764308046700,37.0000,15.0000,3.0000,107.70,104.70,104.70,62.58,57.05,71.56
10,1764308046808,40.0000,21.0000,2.0000,104.70,139.20,139.20,62.94,69.27,67.73
10,1764308046941,37.0000,27.0000,1.0000,139.20,177.20,177.20,63.88,62.58,61.86
10,1764308047093,40.0000,14.0000,2.0000,175.70,167.90,167.90,62.36,61.97,62.41
50,1764308047199,38.0000,23.0000,5.0000,167.90,131.40,131.40,57.64,57.20,56.97
50,1764308047316,39.0000,26.0000,4.0000,131.40,111.40,111.40,63.14,67.02,65.63
50,1764308047434,37.0000,23.0000,2.0000,111.40,114.10,142.50,72.59,71.00,68.63
50,1764308047554,39.0000,23.0000,3.0000,142.50,142.50,169.40,61.92,56.33,55.59
50,1764308047677,43.0000,37.0000,2.0000,169.40,180.70,180.70,57.92,65.14,61.63
50,1764308047823,40.0000,5.0000,1.0000,180.70,180.70,154.70,66.28,61.09,60.58
50,1764308047915,38.0000,9.0000,3.0000,154.70,154.70,154.70,66.16,65.53,65.03
50,1764308048016,37.0000,14.0000,3.0000,117.70,117.70,117.70,62.00,62.41,64.30
50,1764308048128,38.0000,27.0000,3.0000,98.40,98.40,98.40,61.33,58.66,56.25
50,1764308048246,38.0000,14.0000,2.0000,92.10,92.10,92.10,66.44,66.63,66.53
50,1764308048353,39.0000,17.0000,7.0000,94.10,90.20,90.20,62.97,55.67,61.56
50,1764308048462,38.0000,10.0000,2.0000,90.20,109.60,109.60,58.14,56.73,56.22
50,1764308048557,36.0000,16.0000,2.0000,109.60,109.60,97.90,74.95,69.23,68.70
50,1764308048666,39.0000,23.0000,5.0000,97.30,97.30,97.30,64.17,64.75,63.63
50,1764308048781,38.0000,3.0000,3.0000,98.10,98.10,98.10,56.91,57.28,55.88
50,1764308048872,37.0000,3.0000,1.0000,86.40,86.40,86.40,60.80,69.55,67.14
50,1764308048961,38.0000,29.0000,1.0000,86.40,82.70,82.70,66.67,66.20,66.61
50,1764308049076,38.0000,6.0000,2.0000,82.70,82.70,74.40,57.17,57.53,56.02
50,1764308049167,36.0000,24.0000,2.0000,74.40,74.40,74.40,62.77,61.06,61.44
50,1764308049279,36.0000,13.0000,1.0000,70.60,70.60,70.60,61.16,60.52,59.95
50,1764308049386,43.0000,6.0000,1.0000,81.70,81.70,81.70,59.63,59.77,66.17
50,1764308049486,41.0000,7.0000,1.0000,77.90,83.30,83.30,81.48,64.64,55.58
50,1764308049591,46.0000,1.0000,1.0000,83.30,83.30,89.90,64.38,63.75,63.20
50,1764308049676,39.0000,25.0000,3.0000,89.90,89.90,101.80,63.83,63.75,62.42
50,1764308049789,37.0000,23.0000,2.0000,103.10,103.10,103.10,63.58,61.36,59.95
50,1764308049902,37.0000,9.0000,2.0000,96.30,96.30,96.30,58.47,58.89,57.56
50,1764308050002,42.0000,8.0000,2.0000,93.70,93.70,93.70,64.27,65.09,64.59
50,1764308050098,37.0000,13.0000,4.0000,93.70,82.10,82.10,64.09,62.70,62.20
50,1764308050201,38.0000,14.0000,2.0000,82.10,82.10,90.90,61.69,59.88,58.42
50,1764308050303,38.0000,28.0000,2.0000,90.90,90.90,101.20,68.58,66.56,66.05
50,1764308050425,37.0000,9.0000,2.0000,101.20,101.20,101.20,61.70,59.70,59.16
50,1764308050522,38.0000,16.0000,3.0000,107.50,107.50,107.50,57.92,64.56,65.03
50,1764308050628,38.0000,19.0000,2.0000,117.50,117.50,117.50,63.84,64.25,60.89
50,1764308050735,38.0000,23.0000,2.0000,121.40,138.70,138.70,57.77,66.52,65.94
50,1764308050848,38.0000,16.0000,2.0000,138.70,135.10,135.10,62.48,61.78,61.20
50,1764308050952,37.0000,17.0000,1.0000,135.10,135.10,144.00,59.02,57.25,56.75
50,1764308051051,37.0000,15.0000,1.0000,144.00,144.00,144.00,56.70,71.27,70.95
50,1764308051150,37.0000,23.0000,2.0000,132.00,132.00,131.10,66.53,53.02,65.55
50,1764308051269,41.0000,4.0000,2.0000,167.80,167.80,167.80,61.97,60.83,60.66
50,1764308051363,39.0000,28.0000,2.0000,159.60,155.50,155.50,63.75,61.19,60.19
50,1764308051479,37.0000,36.0000,1.0000,162.40,158.90,158.90,57.38,62.80,56.14
50,1764308051622,47.0000,22.0000,3.0000,221.80,221.80,221.80,61.11,61.55,59.98
50,1764308051733,39.0000,19.0000,1.0000,221.80,233.90,233.90,54.83,59.08,61.44
50,1764308051838,38.0000,23.0000,2.0000,233.90,220.30,220.30,57.80,58.94,58.88
50,1764308051950,38.0000,6.0000,3.0000,220.30,220.30,201.10,62.50,63.39,62.70
50,1764308052045,37.0000,8.0000,1.0000,181.50,181.50,181.50,57.78,67.81,67.36
50,1764308052145,38.0000,13.0000,1.0000,167.30,167.30,167.30,66.73,63.92,63.56
50,1764308052246,39.0000,29.0000,2.0000,158.70,157.90,157.90,64.48,64.56,63.50
50,1764308052363,38.0000,1.0000,2.0000,151.00,144.40,144.40,63.33,62.80,61.64
50,1764308052449,37.0000,23.0000,1.0000,144.40,152.10,149.80,60.91,60.48,61.00
75,1764308052559,38.0000,17.0000,2.0000,149.80,149.80,146.90,56.80,63.42,62.50
75,1764308052668,38.0000,28.0000,1.0000,142.10,142.10,141.60,61.92,60.52,60.08
75,1764308052785,38.0000,15.0000,3.0000,157.10,157.10,157.10,60.97,58.47,58.39
75,1764308052889,37.0000,14.0000,2.0000,164.00,164.00,164.00,56.69,56.09,56.13
75,1764308052989,38.0000,17.0000,3.0000,156.00,150.60,150.60,63.03,64.05,62.89
75,1764308053104,38.0000,36.0000,2.0000,150.60,140.50,140.50,65.31,62.73,61.61
75,1764308053236,38.0000,13.0000,2.0000,140.50,138.00,138.00,61.80,59.19,59.03
75,1764308053338,37.0000,16.0000,1.0000,138.00,141.10,140.60,56.42,71.38,72.50
75,1764308053449,37.0000,1.0000,1.0000,140.60,140.60,140.60,68.63,68.95,68.31
75,1764308053534,37.0000,22.0000,1.0000,130.80,130.80,130.80,67.16,66.48,65.94
75,1764308053641,38.0000,11.0000,3.0000,137.20,137.20,137.20,65.97,61.42,61.33
75,1764308053739,38.0000,31.0000,4.0000,137.20,150.40,150.40,60.48,58.28,60.86
75,1764308053883,39.0000,4.0000,2.0000,163.10,163.10,163.10,56.34,65.27,65.41
75,1764308053981,40.0000,19.0000,3.0000,163.10,155.30,155.30,56.88,70.14,69.95
75,1764308054095,38.0000,10.0000,1.0000,155.30,147.70,143.40,69.84,68.33,68.13
75,1764308054192,38.0000,11.0000,5.0000,143.40,143.40,143.40,64.80,70.34,69.69
75,1764308054294,38.0000,25.0000,2.0000,144.10,144.10,144.10,69.72,68.08,65.08
75,1764308054409,39.0000,33.0000,2.0000,144.40,144.40,144.40,70.05,56.17,63.50
75,1764308054550,44.0000,9.0000,2.0000,144.70,144.70,144.70,81.39,77.48,77.14
75,1764308054652,43.0000,33.0000,2.0000,144.90,144.90,144.90,76.17,74.86,73.69
75,1764308054782,44.0000,36.0000,2.0000,155.80,155.80,155.80,72.75,64.05,62.05
75,1764308054918,43.0000,5.0000,3.0000,161.10,161.10,161.10,62.66,62.08,62.30
75,1764308055023,43.0000,10.0000,3.0000,145.40,145.40,145.40,62.86,62.30,59.52
75,1764308055131,43.0000,27.0000,1.0000,153.50,153.50,153.50,77.91,72.69,73.11
75,1764308055253,42.0000,15.0000,2.0000,147.80,147.40,147.40,71.00,72.39,71.28
75,1764308055364,43.0000,3.0000,2.0000,147.40,132.80,132.80,61.03,62.50,60.97
75,1764308055463,44.0000,24.0000,4.0000,132.80,128.10,128.10,67.38,67.45,67.34
75,1764308055589,41.0000,20.0000,2.0000,128.10,121.90,121.20,66.42,59.84,58.05
75,1764308055706,42.0000,15.0000,3.0000,121.20,118.40,125.50,67.19,66.81,66.92
75,1764308055825,43.0000,31.0000,3.0000,125.30,132.60,132.50,61.22,59.88,58.94
75,1764308055954,41.0000,18.0000,1.0000,132.50,132.50,123.70,56.97,56.36,55.98
75,1764308056068,43.0000,26.0000,3.0000,123.70,123.70,118.40,64.47,63.89,63.72
75,1764308056191,41.0000,16.0000,3.0000,118.40,118.40,116.30,61.20,59.20,57.91
75,1764308056332,70.0000,10.0000,3.0000,125.00,125.00,138.80,63.95,63.27,62.66
75,1764308056443,41.0000,24.0000,1.0000,138.80,138.80,131.00,59.78,59.19,59.52
75,1764308056563,42.0000,1.0000,1.0000,131.80,131.80,131.80,58.94,58.23,56.59
75,1764308056659,45.0000,27.0000,2.0000,124.70,124.70,124.70,58.77,58.13,57.52
75,1764308056782,42.0000,35.0000,1.0000,121.20,121.20,121.20,63.73,62.67,62.02
75,1764308056914,42.0000,26.0000,1.0000,124.30,124.30,124.30,61.75,57.77,58.06
75,1764308057037,42.0000,16.0000,2.0000,118.20,118.20,118.20,57.53,56.95,63.63
75,1764308057151,42.0000,11.0000,1.0000,112.30,112.30,112.30,62.64,64.00,63.31
75,1764308057257,41.0000,17.0000,3.0000,108.10,113.30,113.30,60.95,60.33,60.73
75,1764308057368,41.0000,24.0000,1.0000,113.30,113.70,113.70,60.36,59.72,60.14
75,1764308057486,41.0000,10.0000,1.0000,113.70,109.30,109.30,56.89,57.25,55.64
75,1764308057588,40.0000,11.0000,1.0000,109.30,109.30,105.70,56.30,63.22,61.61
75,1764308057694,42.0000,10.0000,1.0000,105.10,105.10,105.10,60.20,60.48,59.83
75,1764308057796,42.0000,15.0000,2.0000,113.10,113.10,113.10,57.39,55.56,64.33
75,1764308057908,42.0000,21.0000,3.0000,111.40,111.40,111.40,62.22,62.58,61.05
75,1764308058023,40.0000,6.0000,1.0000,127.30,127.30,127.30,61.45,60.84,60.22
75,1764308058122,43.0000,9.0000,2.0000,127.30,119.60,119.60,60.42,59.84,60.31
75,1764308058221,42.0000,8.0000,1.0000,119.60,119.60,110.10,58.81,57.52,58.89
